"category_id","views","likes","dislikes","comment_count"
22,748374,57527,2966,15954
24,2418783,97185,6146,12703
23,3191434,146033,5339,8181
24,343168,10172,666,2146
24,2095731,132235,1989,17518
28,119180,9763,511,1434
24,2103417,15993,2445,1970
28,817732,23663,778,3432
1,826059,3543,119,340
25,256426,12654,1363,2368
17,81377,655,25,177
24,104578,1576,303,1279
10,687582,114188,1333,8371
25,544770,7848,1171,3981
15,207532,7473,246,2120
28,75752,9419,52,1230
23,295639,8011,638,1256
27,78044,5398,53,385
28,97007,11963,36,2211
27,223871,8421,191,1214
27,115791,9586,75,2800
28,224019,3585,138,208
27,144418,11758,89,1014
26,145921,1707,578,673
23,33980,4884,52,234
24,223077,8676,193,1392
28,80705,4687,41,437
26,120727,9033,224,1346
25,27943,156,36,83
1,50867,715,238,246
2,98378,4035,495,486
24,26000,119,69,0
10,17158531,787419,43420,125882
24,67661,3781,84,626
